frequency_hz,threshold,median,mad,samples,blocks,loo_threshold_min,loo_threshold_max,loo_threshold_relative_range,frozen_reliability_limit,reliable
60000,0.2955488043339124,0.11287776779915605,0.02053498769445078,123,41,0.28980090354638444,0.3365258171468442,0.15809542422533285,0.25,True
120000,0.49730300320982934,0.25528689101338387,0.02720627188682556,123,41,0.478017215732485,0.5139387818790973,0.07223275531166597,0.25,True
180000,0.7239086306916813,0.3031818089740617,0.04729605891874855,123,41,0.7079936403437386,0.7320513018076975,0.03323300820570724,0.25,True
260000,0.8792601390021186,0.35236148216894697,0.05923137920243399,123,41,0.8348846126865062,0.9044784420322098,0.07915044280829839,0.25,True
300000,0.5795569266847206,0.4690106042793819,0.012427078826086901,123,41,0.5778902840786747,0.582903266971665,0.008649681613963874,0.25,True
