archive,path,temperature_c,pressure_bar,ramp,status,invalid_reason,support_distance,supported,fusion,score_60000,energy_score_60000,confirmed_60000,score_120000,energy_score_120000,confirmed_120000,score_180000,energy_score_180000,confirmed_180000,score_260000,energy_score_260000,confirmed_260000,score_300000,energy_score_300000,confirmed_300000
baseline,T25_Baseline/25-06-02_09-59-00_GW_Baseline_T25_100bar.h5,25,100,random,complete,,0.5373502373665935,True,no_alarm,0.1252338888921908,0.10411482197897774,False,0.2782364402498518,0.17998772433825902,False,0.2619307812835489,0.1012268236705235,False,0.35505876903023037,0.21474697121552058,False,0.42965548591954367,0.3065414960895266,False
baseline,T25_Baseline/25-06-02_10-04-33_GW_Baseline_T25_650bar.h5,25,650,random,complete,,0.5293928512242333,True,no_alarm,0.07143187017313071,0.022235540407044545,False,0.2174635593380247,0.041985860892704556,False,0.19962302914687566,0.04171082377433777,False,0.25454806110688616,0.03890100121498108,False,0.4559876322746277,0.056897529533931186,False
baseline,T25_Baseline/25-06-02_10-10-03_GW_Baseline_T25_700bar.h5,25,700,random,complete,,0.6687829973509981,True,no_alarm,0.07106955455882209,0.0294208824634552,False,0.2478743599993842,0.04524799968515124,False,0.3341574211205755,0.04899313833032336,False,0.31813626417091917,0.05951550602912903,False,0.4496187088744981,0.059252064142908366,False
baseline,T25_Baseline/25-06-02_10-15-27_GW_Baseline_T25_300bar.h5,25,300,random,complete,,0.4477870076679134,True,no_alarm,0.08705017529428005,0.024637375559125627,False,0.25957245592560085,0.04055486193725041,False,0.2464200864945139,0.060052433184215,False,0.34742446563073565,0.08932624118668693,False,0.478828778224332,0.1001109778881073,False
baseline,T25_Baseline/25-06-02_10-20-45_GW_Baseline_T25_150bar.h5,25,150,random,complete,,0.4760175821240551,True,no_alarm,0.0895081383309194,0.03893453095640455,False,0.23195412755012512,0.07283840009144374,False,0.2341294065117836,0.05179583600589207,False,0.3369418904185295,0.09922030568122864,False,0.4565007282154901,0.11863599930490766,False
baseline,T25_Baseline/25-06-02_10-26-06_GW_Baseline_T25_350bar.h5,25,350,random,complete,,0.47141530640698126,True,no_alarm,0.07236336278063911,0.019261851906776428,False,0.20741828052060945,0.03481543915612357,False,0.22256561954106605,0.03258237029824938,False,0.2724827251264027,0.04187251201697758,False,0.4610883157168116,0.04849943731512342,False
baseline,T25_Baseline/25-06-02_10-31-54_GW_Baseline_T25_500bar.h5,25,500,random,complete,,0.5395926094025248,True,no_alarm,0.08344804921320506,0.021585253732545034,False,0.24194041692784854,0.0538102069071361,False,0.2533014432660171,0.0863741785287857,False,0.2710296964006765,0.06483565058026995,False,0.456583525453295,0.06128106372697013,False
baseline,T25_Baseline/25-06-02_10-37-48_GW_Baseline_T25_600bar.h5,25,600,random,complete,,0.4845762635063786,True,no_alarm,0.07603753118642739,0.02404737046786717,False,0.227921157010964,0.03912818218980517,False,0.30176357499190737,0.06037554144859314,False,0.28903475190911976,0.042618127805846076,False,0.45580911210605074,0.05434441140719822,False
baseline,T25_Baseline/25-06-02_10-45-12_GW_Baseline_T25_250bar.h5,25,250,random,complete,,0.4470670669134388,True,no_alarm,0.109037259593606,0.027845550860677446,False,0.271938827420984,0.06876114862305778,False,0.24986447766423225,0.06891818344593048,False,0.27239805992160526,0.09749966434070043,False,0.46086574132953373,0.08360548956053597,False
baseline,T25_Baseline/25-06-02_10-50-42_GW_Baseline_T25_550bar.h5,25,550,random,complete,,0.5069805782352875,True,no_alarm,0.07505150511860847,0.02115301149232047,False,0.22670984055314744,0.05235800785677774,False,0.3013991766742298,0.0677814611366817,False,0.2856621891260147,0.05318562260695866,False,0.4543860469545637,0.06131133437156677,False
baseline,T25_Baseline/25-06-02_11-01-48_GW_Baseline_T25_450bar.h5,25,450,random,complete,,0.5347226455501151,True,no_alarm,0.09087312487619263,0.023107545716421946,False,0.2601112388074398,0.06711833817618233,False,0.27139508724212646,0.0950855016708374,False,0.29210335867745535,0.07573430665901729,False,0.46150825917720795,0.07113484186785561,False
baseline,T25_Baseline/25-06-02_11-07-06_GW_Baseline_T25_400bar.h5,25,400,random,complete,,0.5059282361891502,True,no_alarm,0.07129562034138612,0.02291543356009892,False,0.21104821296674864,0.05346288851329258,False,0.26631124690175056,0.0815640709229878,False,0.26824231818318367,0.07781775295734406,False,0.4460227223379271,0.05693998294217246,False
baseline,T25_Baseline/25-06-02_11-12-27_GW_Baseline_T25_50bar.h5,25,50,random,complete,,0.6619002080094963,True,no_alarm,0.08096097010586943,0.013839649302618844,False,0.19458701567990438,0.028491254363741194,False,0.30597027604069027,0.030014448932238987,False,0.36535139062574934,0.03662054666451046,False,0.3747905120253563,0.046232253313064575,False
baseline,T25_Baseline/25-06-02_11-17-51_GW_Baseline_T25_200bar.h5,25,200,random,complete,,0.4865130136664129,True,no_alarm,0.12781631467597826,0.04960314503737858,False,0.27781506681016516,0.10966712023530688,False,0.25761314800807406,0.09715907062802996,False,0.29777061300618307,0.1445153568472181,False,0.45512411636965616,0.13787333880152022,False
irreversible,T25_Irreversible_Damage/25-06-13_08-52-27_GW_ID_T25_700bar.h5,25,700,descending,complete,,0.6645156962391062,True,alarm,0.23244329967669078,0.14842416133199418,False,0.5337055304220745,0.23912312941891806,True,0.7938285427434104,0.21168242607797896,True,0.627051904797554,0.37785014510154724,False,0.6548026693718774,0.4363310954400471,True
irreversible,T25_Irreversible_Damage/25-06-13_08-58-57_GW_ID_T25_650bar.h5,25,650,descending,complete,,0.44652436992094013,True,alarm,0.22787303530744143,0.14595119868006026,False,0.536817131297929,0.24423096648284368,True,0.7929925003222057,0.2151306825024741,True,0.6287551820278168,0.3878105580806732,False,0.6612164037568229,0.43766509209360394,True
irreversible,T25_Irreversible_Damage/25-06-13_09-05-30_GW_ID_T25_600bar.h5,25,600,descending,complete,,0.4504354335612908,True,alarm,0.22681711028729165,0.14086016586848668,False,0.5375548845955304,0.243049789752279,True,0.7934635622160775,0.2141748113291604,True,0.6270497867039272,0.38629274708884104,False,0.6618929547922952,0.4317471512726375,True
irreversible,T25_Irreversible_Damage/25-06-13_09-11-54_GW_ID_T25_550bar.h5,25,550,descending,complete,,0.44712279360110735,True,alarm,0.22965276507394655,0.13497653816427505,False,0.5354997366666794,0.23858579780374253,True,0.7913879730871746,0.21199525679860795,True,0.6254182841096606,0.3780467744384493,False,0.662649216396468,0.4231196088450296,True
irreversible,T25_Irreversible_Damage/25-06-13_09-18-12_GW_ID_T25_500bar.h5,25,500,descending,complete,,0.4462175621416121,True,alarm,0.23494078112500055,0.12755993008613586,False,0.5303337105682918,0.23656063207558223,True,0.7897928271974836,0.21279604520116532,True,0.6269534655979702,0.3736221471003124,False,0.6553567733083453,0.41569281263010843,True
irreversible,T25_Irreversible_Damage/25-06-13_09-24-27_GW_ID_T25_450bar.h5,25,450,descending,complete,,0.4490447453032876,True,alarm,0.24691593274474144,0.12149432301521301,False,0.5429462332810674,0.2340875438281468,True,0.7974537440708706,0.21338956909520285,True,0.6316788856472287,0.3664877180542265,False,0.6488007094178881,0.4073549189737865,True
irreversible,T25_Irreversible_Damage/25-06-13_09-31-24_GW_ID_T25_400bar.h5,25,400,descending,complete,,0.4425120690512929,True,alarm,0.24341124349406787,0.11372397840023041,False,0.5667163346494947,0.2246502786874771,True,0.8049515315464565,0.21686831542423793,True,0.6366343604666846,0.3544836491346359,False,0.6392399668693542,0.39349481037684847,True
