study,analysis_role,independent_target,ranking_auc,worst_auc,healthy_fpr,damage_recall,support_coverage,calibration_status,physical_control,frozen_outcome,failure_mode
P7 long-term bridge,confirmatory,yes; D7-D13 untouched events,0.517186738435507,0.07376292702500593,0.08057439170323095,0.004777070063694267,not a primary gate,frozen temporal calibration,not primary,FAIL,event direction instability and negligible fixed-threshold recall
P9B composite temperature benchmark,development,no,0.8941358024691358,0.8544753086419753,0.15,0.6895833333333333,boundary-touch gate failed,development q95,not primary,DEVELOPMENT FAIL,temperature-bin false alarms and interpolation boundary saturation
P9E independent healthy transfer,external healthy-only audit,yes; no damage labels,NA,NA,0.6231060606060606,NA,outside-support acquisitions rejected,direct transfer failed,not applicable,FAIL,healthy-domain threshold transfer collapse
P10 monitored steel pipeline,predeclared evaluation,temporal held-out healthy and final-day damage,1.0,NA,0.0,0.32142857142857145,not explicit,post hoc audit: unreliable,energy AUROC 0.588,FAIL,perfect ranking but low and late fixed-threshold sensitivity
P11B static wind-turbine blade,confirmatory single execution,yes; locked archive and chronology,0.9984568622866494,NA,0.014285714285714285,0.9509001636661211,temperature support tracked,CALIBRATION_UNRELIABLE,AUROC margin 0.822,FAIL,excellent detection but leave-one-block threshold instability
P12 external COPV,prospectively pre-specified and hash-locked external confirmatory,yes; unopened before LOCK2.2,0.989005439005439,0.971056721056721,0.0,0.5075757575757576,0.7857142857142857,five frequencies reliable,energy macro AUROC 0.9955; margin -0.0065,FAIL (7/13 gates),"damage support, conditional recall, and physical-increment gates"
